trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
16,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-75.78132613403568,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.4, 'e': 0.9999999}",20,8,-6.9430079463999235,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-100.9829666621134,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-231.20003982260081,"{0: 7, 1: 1, 2: 8, 3: 0, 4: 4}",0
20,False,"{'a': 0.4, 'e': 0.9999999}",25,1,-132.11570367002378,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 1}",1
21,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-144.9588934938878,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
22,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-236.2874257448809,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
23,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-158.5764874267294,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
24,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-92.81455510892559,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-34.86044560681754,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-117.5637828655288,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
27,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-111.44480656417204,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-151.65917324446536,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
29,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-78.68200641291929,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-136.2047737895951,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
31,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-110.20514985378327,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-117.52325145768478,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-120.87666463645446,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
34,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-192.16241856302028,"{0: 19, 1: 4, 2: 3, 3: 0, 4: 4}",0
35,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-118.10034542902083,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
36,False,"{'a': 0.4, 'e': 0.9999999}",35,0,-210.17881650184682,"{0: 22, 1: 4, 2: 5, 3: 0, 4: 4}",0
37,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-177.84993731906727,"{0: 21, 1: 1, 2: 2, 3: 3, 4: 3}",0
38,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-92.27441045881358,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
39,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-99.85653565028831,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
